Date,Time,Open,High,Low,Close,Vol,OI
04/04/2019,17:00:00,2829.75000,2834.75000,2820.00000,2831.75000,1045539,2519691
04/05/2019,17:00:00,2831.50000,2847.00000,2829.50000,2845.00000,1221029,2525234
04/08/2019,17:00:00,2845.25000,2848.75000,2833.25000,2847.25000,978909,2523463
04/09/2019,17:00:00,2847.50000,2849.00000,2826.25000,2831.50000,1182395,2531776
04/10/2019,17:00:00,2831.00000,2845.00000,2827.00000,2843.50000,972310,2549282
04/11/2019,17:00:00,2843.75000,2849.00000,2834.25000,2840.75000,1227893,2578445
04/12/2019,17:00:00,2841.00000,2863.75000,2839.75000,2861.50000,1227893,2574551
04/15/2019,17:00:00,2861.00000,2863.50000,2849.50000,2858.50000,955662,2570158
04/16/2019,17:00:00,2859.25000,2870.25000,2853.50000,2860.50000,1124491,2585325
04/17/2019,17:00:00,2859.25000,2872.50000,2847.50000,2849.50000,1382265,2597888
04/18/2019,17:00:00,2850.00000,2860.75000,2838.50000,2859.00000,1335778,2606814
04/22/2019,17:00:00,2857.75000,2864.75000,2848.00000,2861.50000,706067,2598555
04/23/2019,17:00:00,2860.75000,2888.75000,2857.00000,2887.00000,1193738,2636860
04/24/2019,17:00:00,2886.25000,2888.75000,2876.75000,2879.75000,1125250,2618456
04/25/2019,17:00:00,2879.00000,2884.75000,2863.25000,2875.25000,1376185,2615681
04/26/2019,17:00:00,2872.75000,2891.75000,2866.25000,2890.50000,1246988,2622207
04/29/2019,17:00:00,2888.25000,2900.50000,2886.75000,2892.00000,944846,2599060
04/30/2019,17:00:00,2891.50000,2905.50000,2875.00000,2897.50000,1491268,2584732
05/01/2019,17:00:00,2904.00000,2910.25000,2865.00000,2872.00000,1502201,2603085
05/02/2019,17:00:00,2865.50000,2881.75000,2850.00000,2866.50000,1295606,2604079
05/03/2019,17:00:00,2867.50000,2898.50000,2865.50000,2896.50000,1295606,2598862
05/06/2019,17:00:00,2866.75000,2887.25000,2832.50000,2881.50000,2037157,2592736
05/07/2019,17:00:00,2861.00000,2879.50000,2811.50000,2839.75000,2813033,2580940
05/08/2019,17:00:00,2838.75000,2848.50000,2817.75000,2836.25000,2043325,2575029
05/09/2019,17:00:00,2833.00000,2834.50000,2785.25000,2821.75000,2848095,2580218
05/10/2019,17:00:00,2818.75000,2842.00000,2775.00000,2836.00000,2848095,2572256
05/13/2019,17:00:00,2807.50000,2818.25000,2751.00000,2756.00000,2790074,2603641
